lr-AdamW,step,val_loss,epoch,train_loss_epoch,train_loss_step
,236,,78,-0.380689412355423,
5e-05,237,,,,
,239,0.989367663860321,79,,
,239,,79,0.3736591041088104,
5e-05,240,,,,
,242,0.971569836139679,80,,
,242,,80,-0.5036770105361938,
5e-05,243,,,,
,245,0.9243171811103821,81,,
,245,,81,-0.5161412954330444,
5e-05,246,,,,
,248,0.8554774522781372,82,,
,248,,82,-0.06864074617624283,
5e-05,249,,,,
,249,,83,,-0.3709827661514282
,251,0.8536586761474609,83,,
,251,,83,-0.49585604667663574,
5e-05,252,,,,
,254,0.8576986193656921,84,,
,254,,84,-0.4867554008960724,
5e-05,255,,,,
,257,0.7671923637390137,85,,
,257,,85,1.4357861280441284,
5e-05,258,,,,
,260,0.6243739724159241,86,,
,260,,86,0.07046972960233688,
5e-05,261,,,,
,263,0.5595954060554504,87,,
,263,,87,0.24443009495735168,
5e-05,264,,,,
,266,0.4966770112514496,88,,
,266,,88,-0.5504122376441956,
5e-06,267,,,,
,269,0.4900563657283783,89,,
,269,,89,-0.7189979553222656,
5e-06,270,,,,
,272,0.5297427773475647,90,,
,272,,90,0.011982742697000504,
5e-06,273,,,,
,275,0.5631611347198486,91,,
,275,,91,-0.2166922241449356,
5e-06,276,,,,
,278,0.5671209692955017,92,,
,278,,92,-0.5202916264533997,
5e-06,279,,,,
,281,0.49835699796676636,93,,
,281,,93,0.034043990075588226,
5e-06,282,,,,
,284,0.5055353045463562,94,,
,284,,94,-0.4460478127002716,
5e-06,285,,,,
,287,0.4919072687625885,95,,
,287,,95,-0.5831194519996643,
5e-06,288,,,,
,290,0.5086206197738647,96,,
,290,,96,0.36172595620155334,
5e-06,291,,,,
,293,0.5629634261131287,97,,
,293,,97,0.07805714011192322,
5e-06,294,,,,
,296,0.5171318650245667,98,,
,296,,98,-0.10560264438390732,
5e-06,297,,,,
,299,,99,,-0.7205929160118103
,299,0.5221242308616638,99,,
,299,,99,-0.7527680993080139,
